front,back,category
What is the capital of France?,Paris,General
Which planet is known as the Red Planet?,Mars,General
What is the largest mammal in the world?,Blue Whale,General
What is the fastest land animal?,Cheetah,General
Which ocean is the largest?,Pacific Ocean,General
How many continents are there?,7,General
Which is the tallest mountain on Earth?,Mount Everest,General
What is the national sport of Japan?,Sumo Wrestling,General
Which fruit keeps the doctor away if eaten daily?,Apple,General
What is the freezing point of water in Celsius?,0°C,General
Which instrument has 88 keys?,Piano,General
What is the main language spoken in Brazil?,Portuguese,General
Which currency is used in the USA?,Dollar,General
Which is the smallest country in the world?,Vatican City,General
What is the capital of Italy?,Rome,General
Which gas do humans breathe in to survive?,Oxygen,General
Which bird is a symbol of peace?,Dove,General
What is the capital of the UK?,London,General
Which is the longest river in the world?,Nile,General
What do bees produce?,Honey,General
What is the capital of Spain?,Madrid,General
Which country is famous for kangaroos?,Australia,General
What color are emeralds?,Green,General
Which animal is known as man's best friend?,Dog,General
What is the capital of Germany?,Berlin,General
How many colors are in a rainbow?,7,General
Which planet is closest to the Sun?,Mercury,General
Which is the largest desert in the world?,Sahara,General
What is the opposite of 'cold'?,Hot,General
What is the capital of Canada?,Ottawa,General
Who was the first President of the United States?,George Washington,History
In which year did World War II end?,1945,History
Who discovered America in 1492?,Christopher Columbus,History
Which wall divided Berlin until 1989?,Berlin Wall,History
Who was the first man on the moon?,Neil Armstrong,History
Which empire built the Colosseum?,Roman Empire,History
Who was known as the Maid of Orléans?,Joan of Arc,History
Which US president abolished slavery?,Abraham Lincoln,History
In which year did the Titanic sink?,1912,History
Who was the famous queen of ancient Egypt?,Cleopatra,History
Which empire was ruled by Genghis Khan?,Mongol Empire,History
Who was the British Prime Minister during WWII?,Winston Churchill,History
In which year did the French Revolution begin?,1789,History
Who was the first emperor of China?,Qin Shi Huang,History
Which war was fought between the North and South of the US?,Civil War,History
Who was assassinated in Dallas in 1963?,John F. Kennedy,History
In which country did the Industrial Revolution begin?,England,History
Who was known as the Iron Lady?,Margaret Thatcher,History
What year did the Soviet Union collapse?,1991,History
Who wrote the Communist Manifesto?,Karl Marx and Friedrich Engels,History
Who was the first female Prime Minister of India?,Indira Gandhi,History
Which country gifted the Statue of Liberty to the US?,France,History
Who was the first man to circumnavigate the globe?,Ferdinand Magellan,History
What was the name of Hitler’s party?,Nazi Party,History
Which US president served the longest?,Franklin D. Roosevelt,History
Who was the famous leader of the Soviet Union during WWII?,Joseph Stalin,History
Which city was destroyed by a volcanic eruption in 79 AD?,Pompeii,History
Who painted the Mona Lisa?,Leonardo da Vinci,History
Which country was led by Nelson Mandela?,South Africa,History
Who was the first female pharaoh of Egypt?,Hatshepsut,History
What is the chemical symbol for water?,H2O,Science
Which planet has the most moons?,Saturn,Science
What gas do plants release during photosynthesis?,Oxygen,Science
What part of the cell contains DNA?,Nucleus,Science
What is the hardest natural substance on Earth?,Diamond,Science
What force keeps us on the ground?,Gravity,Science
What is the speed of light?,"299,792 km/s",Science
Which blood type is known as the universal donor?,O-,Science
How many bones are in the adult human body?,206,Science
What is the chemical symbol for gold?,Au,Science
Which planet is known for its rings?,Saturn,Science
What organ pumps blood through the body?,Heart,Science
What is the process by which plants make food?,Photosynthesis,Science
Which is the smallest particle of an element?,Atom,Science
What is the boiling point of water in Celsius?,100°C,Science
Which organ is responsible for filtering blood?,Kidneys,Science
What is the powerhouse of the cell?,Mitochondria,Science
Which scientist developed the theory of relativity?,Albert Einstein,Science
Which gas do humans exhale?,Carbon Dioxide,Science
What is the largest planet in our solar system?,Jupiter,Science
Which metal is liquid at room temperature?,Mercury,Science
What vitamin do we get from sunlight?,Vitamin D,Science
Which part of the human body controls balance?,Inner Ear,Science
What is the most abundant gas in Earth’s atmosphere?,Nitrogen,Science
Which blood cells fight infection?,White Blood Cells,Science
What is the chemical symbol for iron?,Fe,Science
Which scientist discovered gravity?,Isaac Newton,Science
What galaxy do we live in?,Milky Way,Science
Which is the closest star to Earth?,The Sun,Science
What is the study of rocks called?,Geology,Science
What is 12 x 12?,144,Math
What is the square root of 81?,9,Math
What is 15% of 200?,30,Math
What is the value of Pi (approx)?,3.14,Math
What is 7 cubed?,343,Math
What is 100 divided by 4?,25,Math
What is the perimeter of a square with side 5?,20,Math
What is 9 squared?,81,Math
What is the area of a triangle with base 10 and height 5?,25,Math
What is the decimal equivalent of 1/2?,0.5,Math
What is the derivative of x^2?,2x,Math
What is the integral of 1/x?,ln(x) + C,Math
What is the next prime number after 7?,11,Math
What is the factorial of 5?,120,Math
What is 2 to the power of 10?,1024,Math
What is the sum of angles in a triangle?,180°,Math
What is 3/4 as a percentage?,75%,Math
What is 0 divided by any number?,0,Math
What is infinity minus infinity?,Undefined,Math
What is the hypotenuse of a 3-4-5 triangle?,5,Math
What is the logarithm base 10 of 1000?,3,Math
What is the solution to 2x = 10?,x = 5,Math
"What is the median of 2, 5, 7?",5,Math
"What is the mode of 1, 2, 2, 3?",2,Math
"What is the mean of 4, 8, 12?",8,Math
What is the slope of y = 2x + 3?,2,Math
What is the area of a circle with radius 7?,153.94,Math
What is 1/0?,Undefined,Math
What is the greatest common divisor of 12 and 18?,6,Math
What is the least common multiple of 4 and 5?,20,Math
